num_founder mean_children_num variance_children_num umi_len err_rate insertion-deletion-substitution replicate total_umi simulated_mean_children_num simulated_variance_children_num substitution_base indel_base simulated_insertion-deletion-substitution substitution_only_umi indel_umi uniq_umi tool clustering_threshold thread runtime_in_sec dedup_umi_cluster V-measure homogeneity_score completeness_score RPU_cutoff RPU_cutoff_model estimated_molecule
10000 100 200 18 0.005 1-1-40 2 1011529 101.153 201 85994 4320 1.017-1.000-40.147 82228 4311 90931 humid-fixed-max 2 1 33.98 11142 0.9992 0.9992 0.9993 NA NA 11142
10000 100 200 18 0.005 1-1-40 3 1008499 100.85 203 85832 4332 1.000-1.029-40.202 82040 4322 90952 UMI-nea 2 14 33.74 10117 0.9999 1.0000 0.9999 49 negbinom 9997
10000 100 200 18 0.005 1-1-40 3 1008499 100.85 203 85832 4332 1.000-1.029-40.202 82040 4322 90952 umi-tools 2 1 68.04 11328 0.9994 0.9998 0.9990 NA NA 11328
10000 100 200 18 0.005 1-1-40 3 1008499 100.85 203 85832 4332 1.000-1.029-40.202 82040 4322 90952 calib 2 14 2.99 12713 0.9969 0.9957 0.9981 NA NA 12713
10000 100 200 18 0.005 1-1-40 3 1008499 100.85 203 85832 4332 1.000-1.029-40.202 82040 4322 90952 humid 2 1 33.30 11691 0.9979 0.9982 0.9977 NA NA 11691
10000 100 200 18 0.005 1-1-40 3 1008499 100.85 203 85832 4332 1.000-1.029-40.202 82040 4322 90952 humid-fixed 2 1 33.79 11838 0.9994 1.0000 0.9989 NA NA 11838
10000 100 200 18 0.005 1-1-40 3 1008499 100.85 203 85832 4332 1.000-1.029-40.202 82040 4322 90952 humid-fixed-max 2 1 33.81 11139 0.9992 0.9991 0.9993 NA NA 11139
1000 100 200 12 0.001 1-1-40 1 101200 101.2 202 1192 50 1.500-1.000-59.600 1178 50 2210 UMI-nea 1 14 0.16 1012 0.9996 0.9994 0.9999 46 negbinom 997
1000 100 200 12 0.001 1-1-40 1 101200 101.2 202 1192 50 1.500-1.000-59.600 1178 50 2210 umi-tools 1 1 1.05 1033 0.9998 0.9999 0.9997 NA NA 1033
1000 100 200 12 0.001 1-1-40 1 101200 101.2 202 1192 50 1.500-1.000-59.600 1178 50 2210 calib 1 14 0.17 1024 0.9973 0.9951 0.9996 NA NA 1024
1000 100 200 12 0.001 1-1-40 1 101200 101.2 202 1192 50 1.500-1.000-59.600 1178 50 2210 humid 1 1 1.35 1039 0.9997 0.9999 0.9995 NA NA 1039
1000 100 200 12 0.001 1-1-40 1 101200 101.2 202 1192 50 1.500-1.000-59.600 1178 50 2210 humid-fixed 1 1 1.35 1054 0.9998 1.0000 0.9995 NA NA 1054
1000 100 200 12 0.001 1-1-40 1 101200 101.2 202 1192 50 1.500-1.000-59.600 1178 50 2210 humid-fixed-max 1 1 1.35 1046 0.9990 0.9984 0.9996 NA NA 1046
1000 100 200 12 0.001 1-1-40 2 100510 100.51 201 1123 59 1.107-1.000-40.107 1114 59 2161 UMI-nea 1 14 0.16 1009 1.0000 1.0000 0.9999 51 negbinom 1000
1000 100 200 12 0.001 1-1-40 2 100510 100.51 201 1123 59 1.107-1.000-40.107 1114 59 2161 umi-tools 1 1 1.07 1028 0.9999 1.0000 0.9998 NA NA 1028
1000 100 200 12 0.001 1-1-40 2 100510 100.51 201 1123 59 1.107-1.000-40.107 1114 59 2161 calib 1 14 0.17 1035 0.9984 0.9972 0.9996 NA NA 1035
1000 100 200 12 0.001 1-1-40 2 100510 100.51 201 1123 59 1.107-1.000-40.107 1114 59 2161 humid 1 1 1.34 1035 0.9997 0.9999 0.9995 NA NA 1035
1000 100 200 12 0.001 1-1-40 2 100510 100.51 201 1123 59 1.107-1.000-40.107 1114 59 2161 humid-fixed 1 1 1.34 1056 0.9998 1.0000 0.9995 NA NA 1056
1000 100 200 12 0.001 1-1-40 2 100510 100.51 201 1123 59 1.107-1.000-40.107 1114 59 2161 humid-fixed-max 1 1 1.34 1053 0.9997 0.9998 0.9996 NA NA 1053
1000 100 200 12 0.001 1-1-40 3 101000 101 183 1172 62 1.000-1.480-46.880 1164 62 2213 UMI-nea 1 14 0.17 1008 0.9999 0.9998 0.9999 52 negbinom 999
1000 100 200 12 0.001 1-1-40 3 101000 101 183 1172 62 1.000-1.480-46.880 1164 62 2213 umi-tools 1 1 1.05 1031 0.9999 1.0000 0.9997 NA NA 1031
1000 100 200 12 0.001 1-1-40 3 101000 101 183 1172 62 1.000-1.480-46.880 1164 62 2213 calib 1 14 0.20 1039 0.9984 0.9973 0.9996 NA NA 1039
1000 100 200 12 0.001 1-1-40 3 101000 101 183 1172 62 1.000-1.480-46.880 1164 62 2213 humid 1 1 1.35 1030 0.9996 0.9998 0.9995 NA NA 1030
1000 100 200 12 0.001 1-1-40 3 101000 101 183 1172 62 1.000-1.480-46.880 1164 62 2213 humid-fixed 1 1 1.35 1061 0.9997 1.0000 0.9995 NA NA 1061
1000 100 200 12 0.001 1-1-40 3 101000 101 183 1172 62 1.000-1.480-46.880 1164 62 2213 humid-fixed-max 1 1 1.35 1056 0.9993 0.9991 0.9995 NA NA 1056
10000 100 200 12 0.001 1-1-40 1 1011075 101.108 203 11455 563 1.000-1.055-41.807 11391 563 21760 UMI-nea 1 14 6.29 10073 0.9991 0.9984 0.9998 41 negbinom 9900
10000 100 200 12 0.001 1-1-40 1 1011075 101.108 203 11455 563 1.000-1.055-41.807 11391 563 21760 umi-tools 1 1 9.28 10306 0.9997 0.9998 0.9996 NA NA 10306
10000 100 200 12 0.001 1-1-40 1 1011075 101.108 203 11455 563 1.000-1.055-41.807 11391 563 21760 calib 1 14 1.89 8938 0.9869 0.9745 0.9997 NA NA 8938
10000 100 200 12 0.001 1-1-40 1 1011075 101.108 203 11455 563 1.000-1.055-41.807 11391 563 21760 humid 1 1 13.58 10286 0.9996 0.9997 0.9996 NA NA 10286
10000 100 200 12 0.001 1-1-40 1 1011075 101.108 203 11455 563 1.000-1.055-41.807 11391 563 21760 humid-fixed 1 1 20.00 10535 0.9997 0.9999 0.9996 NA NA 10535
10000 100 200 12 0.001 1-1-40 1 1011075 101.108 203 11455 563 1.000-1.055-41.807 11391 563 21760 humid-fixed-max 1 1 13.58 10053 0.9962 0.9928 0.9997 NA NA 10053
10000 100 200 12 0.001 1-1-40 2 1012139 101.214 198 11579 551 1.144-1.000-45.054 11502 551 21841 UMI-nea 1 14 5.42 10092 0.9991 0.9984 0.9998 40 negbinom 9898
10000 100 200 12 0.001 1-1-40 2 1012139 101.214 198 11579 551 1.144-1.000-45.054 11502 551 21841 umi-tools 1 1 9.40 10328 0.9998 0.9999 0.9997 NA NA 10328
10000 100 200 12 0.001 1-1-40 2 1012139 101.214 198 11579 551 1.144-1.000-45.054 11502 551 21841 calib 1 14 1.95 8994 0.9876 0.9759 0.9997 NA NA 8994
10000 100 200 12 0.001 1-1-40 2 1012139 101.214 198 11579 551 1.144-1.000-45.054 11502 551 21841 humid 1 1 13.55 10322 0.9997 0.9998 0.9996 NA NA 10322
10000 100 200 12 0.001 1-1-40 2 1012139 101.214 198 11579 551 1.144-1.000-45.054 11502 551 21841 humid-fixed 1 1 13.57 10522 0.9998 0.9999 0.9996 NA NA 10522
10000 100 200 12 0.001 1-1-40 2 1012139 101.214 198 11579 551 1.144-1.000-45.054 11502 551 21841 humid-fixed-max 1 1 14.34 10089 0.9965 0.9934 0.9997 NA NA 10089
10000 100 200 12 0.001 1-1-40 3 1010025 101.002 201 11403 590 1.000-1.027-39.186 11344 590 21740 UMI-nea 1 14 5.65 10062 0.9990 0.9983 0.9998 41 negbinom 9890
10000 100 200 12 0.001 1-1-40 3 1010025 101.002 201 11403 590 1.000-1.027-39.186 11344 590 21740 umi-tools 1 1 9.16 10329 0.9997 0.9998 0.9996 NA NA 10329
10000 100 200 12 0.001 1-1-40 3 1010025 101.002 201 11403 590 1.000-1.027-39.186 11344 590 21740 calib 1 14 1.95 9040 0.9876 0.9759 0.9997 NA NA 9040
10000 100 200 12 0.001 1-1-40 3 1010025 101.002 201 11403 590 1.000-1.027-39.186 11344 590 21740 humid 1 1 13.56 10300 0.9996 0.9997 0.9995 NA NA 10300
10000 100 200 12 0.001 1-1-40 3 1010025 101.002 201 11403 590 1.000-1.027-39.186 11344 590 21740 humid-fixed 1 1 20.05 10548 0.9997 0.9999 0.9996 NA NA 10548
10000 100 200 12 0.001 1-1-40 3 1010025 101.002 201 11403 590 1.000-1.027-39.186 11344 590 21740 humid-fixed-max 1 1 13.54 10087 0.9964 0.9931 0.9997 NA NA 10087
1000 100 200 18 0.001 1-1-40 1 100934 100.934 218 1737 96 1.087-1.000-37.761 1726 96 2792 UMI-nea 1 14 0.23 1011 1.0000 1.0000 0.9999 48 negbinom 1000
1000 100 200 18 0.001 1-1-40 1 100934 100.934 218 1737 96 1.087-1.000-37.761 1726 96 2792 umi-tools 1 1 1.08 1066 0.9997 1.0000 0.9995 NA NA 1066
1000 100 200 18 0.001 1-1-40 1 100934 100.934 218 1737 96 1.087-1.000-37.761 1726 96 2792 calib 2 14 0.18 1083 0.9997 1.0000 0.9993 NA NA 1083
1000 100 200 18 0.001 1-1-40 1 100934 100.934 218 1737 96 1.087-1.000-37.761 1726 96 2792 humid 1 1 1.75 1059 0.9995 0.9998 0.9992 NA NA 1059
1000 100 200 18 0.001 1-1-40 1 100934 100.934 218 1737 96 1.087-1.000-37.761 1726 96 2792 humid-fixed 1 1 1.72 1100 0.9996 1.0000 0.9992 NA NA 1100
1000 100 200 18 0.001 1-1-40 1 100934 100.934 218 1737 96 1.087-1.000-37.761 1726 96 2792 humid-fixed-max 1 1 1.72 1100 0.9996 1.0000 0.9992 NA NA 1100
1000 100 200 18 0.001 1-1-40 2 100758 100.758 205 1660 60 1.000-1.222-61.481 1643 60 2673 UMI-nea 1 14 0.23 1017 0.9999 1.0000 0.9999 45 negbinom 1000
1000 100 200 18 0.001 1-1-40 2 100758 100.758 205 1660 60 1.000-1.222-61.481 1643 60 2673 umi-tools 1 1 1.07 1043 0.9998 1.0000 0.9997 NA NA 1043
1000 100 200 18 0.001 1-1-40 2 100758 100.758 205 1660 60 1.000-1.222-61.481 1643 60 2673 calib 2 14 0.18 1050 0.9998 1.0000 0.9996 NA NA 1050
1000 100 200 18 0.001 1-1-40 2 100758 100.758 205 1660 60 1.000-1.222-61.481 1643 60 2673 humid 1 1 1.72 1040 0.9996 0.9998 0.9994 NA NA 1040
1000 100 200 18 0.001 1-1-40 2 100758 100.758 205 1660 60 1.000-1.222-61.481 1643 60 2673 humid-fixed 1 1 1.71 1069 0.9997 1.0000 0.9994 NA NA 1069
1000 100 200 18 0.001 1-1-40 2 100758 100.758 205 1660 60 1.000-1.222-61.481 1643 60 2673 humid-fixed-max 1 1 1.72 1067 0.9997 1.0000 0.9995 NA NA 1067
1000 100 200 18 0.001 1-1-40 3 100678 100.678 189 1706 84 1.154-1.000-43.744 1686 84 2739 UMI-nea 1 14 0.23 1019 0.9999 1.0000 0.9998 45 negbinom 1000
1000 100 200 18 0.001 1-1-40 3 100678 100.678 189 1706 84 1.154-1.000-43.744 1686 84 2739 umi-tools 1 1 1.07 1063 0.9997 1.0000 0.9995 NA NA 1063
1000 100 200 18 0.001 1-1-40 3 100678 100.678 189 1706 84 1.154-1.000-43.744 1686 84 2739 calib 2 14 0.18 1065 0.9997 1.0000 0.9995 NA NA 1065
1000 100 200 18 0.001 1-1-40 3 100678 100.678 189 1706 84 1.154-1.000-43.744 1686 84 2739 humid 1 1 1.72 1058 0.9995 0.9998 0.9992 NA NA 1058
1000 100 200 18 0.001 1-1-40 3 100678 100.678 189 1706 84 1.154-1.000-43.744 1686 84 2739 humid-fixed 1 1 1.72 1094 0.9996 1.0000 0.9992 NA NA 1094
1000 100 200 18 0.001 1-1-40 3 100678 100.678 189 1706 84 1.154-1.000-43.744 1686 84 2739 humid-fixed-max 1 1 1.71 1092 0.9996 1.0000 0.9993 NA NA 1092
10000 100 200 18 0.001 1-1-40 1 1010017 101.002 198 16914 848 1.043-1.000-40.757 16754 848 27341 UMI-nea 1 14 10.51 10159 1.0000 1.0000 0.9999 47 negbinom 10000
10000 100 200 18 0.001 1-1-40 1 1010017 101.002 198 16914 848 1.043-1.000-40.757 16754 848 27341 umi-tools 1 1 10.65 10545 0.9998 1.0000 0.9997 NA NA 10545
10000 100 200 18 0.001 1-1-40 1 1010017 101.002 198 16914 848 1.043-1.000-40.757 16754 848 27341 calib 2 14 2.14 10640 0.9996 0.9997 0.9996 NA NA 10640
10000 100 200 18 0.001 1-1-40 1 1010017 101.002 198 16914 848 1.043-1.000-40.757 16754 848 27341 humid 1 1 18.40 10541 0.9996 0.9997 0.9994 NA NA 10541
10000 100 200 18 0.001 1-1-40 1 1010017 101.002 198 16914 848 1.043-1.000-40.757 16754 848 27341 humid-fixed 1 1 23.66 10922 0.9997 1.0000 0.9994 NA NA 10922
10000 100 200 18 0.001 1-1-40 1 1010017 101.002 198 16914 848 1.043-1.000-40.757 16754 848 27341 humid-fixed-max 1 1 17.25 10909 0.9997 1.0000 0.9994 NA NA 10909
10000 100 200 18 0.001 1-1-40 2 1009558 100.956 202 17165 855 1.041-1.000-40.967 17016 855 27602 UMI-nea 1 14 9.30 10148 1.0000 1.0000 0.9999 47 negbinom 10000
10000 100 200 18 0.001 1-1-40 2 1009558 100.956 202 17165 855 1.041-1.000-40.967 17016 855 27602 umi-tools 1 1 10.66 10568 0.9998 1.0000 0.9997 NA NA 10568
10000 100 200 18 0.001 1-1-40 2 1009558 100.956 202 17165 855 1.041-1.000-40.967 17016 855 27602 calib 2 14 2.10 10659 0.9996 0.9997 0.9996 NA NA 10659
10000 100 200 18 0.001 1-1-40 2 1009558 100.956 202 17165 855 1.041-1.000-40.967 17016 855 27602 humid 1 1 17.40 10528 0.9996 0.9997 0.9994 NA NA 10528
10000 100 200 18 0.001 1-1-40 2 1009558 100.956 202 17165 855 1.041-1.000-40.967 17016 855 27602 humid-fixed 1 1 18.38 10918 0.9997 1.0000 0.9994 NA NA 10918
